25,itd,cocktail_wav48_itd/3_distractors/p277/p277_040.wav,1000240,they_re just different,they just hit him,4.6253204345703125e-05
26,ild,cocktail_wav48_ild/1_distractors/p304/p304_400.wav,606860,it is the worst of both worlds,the best of both worlds,6.9141387939453125e-06
27,hrtf,cocktail_wav48_hrtf/5_distractors/p277/p277_060.wav,1319980,it had been in place since last july,they refuse to welcome him because of his gender,6.198883056640625e-06
28,itd,cocktail_wav48_itd/6_distractors/p277/p277_340.wav,1000216,she said they would appeal,the cat couldn't find its way home,7.867813110351562e-06
29,hrtf,cocktail_wav48_hrtf/1_distractors/p274/p274_333.wav,549828,the group is not paying a dividend,the govener stop paying a devident ,5.9604644775390625e-06
30,hrtf,cocktail_wav48_hrtf/6_distractors/p274/p274_158.wav,1393168,scotland came very close in the second test,scotland came very close in the second test,6.198883056640625e-06
31,itd,cocktail_wav48_itd/6_distractors/p274/p274_342.wav,1139248,that_s the way it goes,that the way a champ does it,6.9141387939453125e-06
32,hrtf,cocktail_wav48_hrtf/3_distractors/p274/p274_093.wav,991668,it was a family tragedy,it was a family tradegy,6.198883056640625e-06
33,hrtf,cocktail_wav48_hrtf/5_distractors/p225/p225_276.wav,762732,he will make an excellent chief inspector,in the backround,7.152557373046875e-06
34,hrtf,cocktail_wav48_hrtf/4_distractors/p274/p274_281.wav,1057244,this will look at consumer attitudes,this will consume ,6.9141387939453125e-06
35,ild,cocktail_wav48_ild/4_distractors/p283/p283_222.wav,1139168,pulled a huge number of viewers,a huge number of corpse,7.152557373046875e-06
36,itd,cocktail_wav48_itd/0_distractors/p277/p277_363.wav,664500,it took about an hour for the gas to clear,it took about an hour for the gusts to clear,6.198883056640625e-06
37,hrtf,cocktail_wav48_hrtf/2_distractors/p277/p277_248.wav,754560,is that a serious question,is that a serious question,7.867813110351562e-06
38,hrtf,cocktail_wav48_hrtf/6_distractors/p274/p274_057.wav,861008,he_s not getting into any games,...act games,6.9141387939453125e-06
39,ild,cocktail_wav48_ild/0_distractors/p304/p304_140.wav,647924,and yet his legacy is doubtful,and yet his leagacy is deightful,6.9141387939453125e-06
40,hrtf,cocktail_wav48_hrtf/4_distractors/p229/p229_037.wav,1057076,however they continued in their pursuit of victory,"however, i continue to constitute victory",7.152557373046875e-06
41,ild,cocktail_wav48_ild/3_distractors/p283/p283_142.wav,918464,last night the row continued,last night the wind continues,8.821487426757812e-06
42,hrtf,cocktail_wav48_hrtf/0_distractors/p229/p229_031.wav,843948,so if we can take anything from tonight it will be fantastic,"so, if we can take anything away from tonight it wil be fantastic",6.9141387939453125e-06
43,ild,cocktail_wav48_ild/3_distractors/p279/p279_315.wav,885240,they were fantastic,they were fantastic,6.9141387939453125e-06
44,hrtf,cocktail_wav48_hrtf/2_distractors/p274/p274_177.wav,868992,and they were being paid,and they were being paid,7.152557373046875e-06
45,hrtf,cocktail_wav48_hrtf/4_distractors/p274/p274_210.wav,1123196,flanker gordon simpson may also feature in that match,.. in that batch,6.9141387939453125e-06
46,hrtf,cocktail_wav48_hrtf/3_distractors/p229/p229_190.wav,951200,i drove the ball well,they met me in the coffee shop,7.152557373046875e-06
47,ild,cocktail_wav48_ild/6_distractors/p304/p304_024.wav,1548684,this is a very common type of bow one showing mainly red and yellow with little or no green or blue,this is a very common type of bow with very little green or blue,6.67572021484375e-06
48,hrtf,cocktail_wav48_hrtf/3_distractors/p229/p229_063.wav,958584,i_ve spent a lot of time on buses,I spent lots of time on busses,6.198883056640625e-06
49,itd,cocktail_wav48_itd/4_distractors/p277/p277_321.wav,795672,you have to be able to deal with all age groups,you have to take the bull by the horns,7.152557373046875e-06
50,ild,cocktail_wav48_ild/0_distractors/p302/p302_126.wav,794856,and perhaps it is as simple as that,and perhaps it is as simple as that,6.9141387939453125e-06
51,hrtf,cocktail_wav48_hrtf/2_distractors/p225/p225_274.wav,1048840,we have not reached the point of no return,widespread and vibrant,6.198883056640625e-06
52,hrtf,cocktail_wav48_hrtf/4_distractors/p229/p229_073.wav,934364,it was chaotic,it was erry,7.152557373046875e-06
53,itd,cocktail_wav48_itd/2_distractors/p286/p286_012.wav,984024,throughout the centuries people have explained the rainbow in various ways,throughout the centry people have explained the rainbow in various ways,7.867813110351562e-06
54,itd,cocktail_wav48_itd/4_distractors/p279/p279_211.wav,1188116,this gives a financial incentive to switch,"music has many great features, but you have to switch",6.9141387939453125e-06
55,ild,cocktail_wav48_ild/4_distractors/p286/p286_337.wav,893616,survival is not an option,survival is not an option,5.9604644775390625e-06
56,hrtf,cocktail_wav48_hrtf/2_distractors/p277/p277_145.wav,1179848,who would be right,he would be right,6.9141387939453125e-06
57,itd,cocktail_wav48_itd/3_distractors/p274/p274_132.wav,853036,i feel very grateful with everything,i feel very judgemental,5.9604644775390625e-06
58,itd,cocktail_wav48_itd/3_distractors/p279/p279_095.wav,868536,this reason is to do with the nature of the scotland manager,hes got loads of respect,8.106231689453125e-06
59,ild,cocktail_wav48_ild/5_distractors/p286/p286_175.wav,663972,further growth will be funded from cash flow,..but were funded from cash flow,1.0013580322265625e-05
60,hrtf,cocktail_wav48_hrtf/6_distractors/p237/p237_001.wav,1180716,please call stella,airs hot in balloons ,7.867813110351562e-06
61,itd,cocktail_wav48_itd/1_distractors/p304/p304_029.wav,1393168,i know my job,i know my job,6.9141387939453125e-06
62,ild,cocktail_wav48_ild/4_distractors/p304/p304_005.wav,1482948,she can scoop these things into three red bags and we will go meet her wednesday at the train station,she could skip these things with her three red bags and we will pick her up at the train station,6.198883056640625e-06
63,ild,cocktail_wav48_ild/1_distractors/p306/p306_218.wav,876852,roy keane is certainly the best,roy keen is certainly the best,6.198883056640625e-06
64,ild,cocktail_wav48_ild/3_distractors/p304/p304_374.wav,762444,i wish him well,i wish him well,5.9604644775390625e-06
65,itd,cocktail_wav48_itd/6_distractors/p283/p283_329.wav,819864,so what happens next,that what she said,7.867813110351562e-06
66,itd,cocktail_wav48_itd/1_distractors/p286/p286_223.wav,820176,stephen has never considered the question of compensation,steven has never considered the question of condensation,7.152557373046875e-06
67,itd,cocktail_wav48_itd/1_distractors/p279/p279_096.wav,508048,it is an old family habit,it is an old bad habit,7.867813110351562e-06
68,hrtf,cocktail_wav48_hrtf/0_distractors/p274/p274_178.wav,623548,was everything done to save people,was everything done to save people,7.152557373046875e-06
69,ild,cocktail_wav48_ild/3_distractors/p302/p302_136.wav,868640,do you think they would be any better,do you think they would be any better,6.9141387939453125e-06
70,itd,cocktail_wav48_itd/3_distractors/p277/p277_296.wav,852740,they are wrong,they are rubbish,6.9141387939453125e-06
71,ild,cocktail_wav48_ild/6_distractors/p286/p286_042.wav,1098640,he looks like an afghan,he looks like an afghan,6.9141387939453125e-06
72,ild,cocktail_wav48_ild/0_distractors/p306/p306_111.wav,1171784,i_m not a diva,i'm not a diva,6.9141387939453125e-06
73,ild,cocktail_wav48_ild/4_distractors/p304/p304_346.wav,885560,i would like to stay with rangers,keep the steak in the freezer,6.9141387939453125e-06
74,itd,cocktail_wav48_itd/2_distractors/p286/p286_359.wav,828168,many of these properties are located in the south of england,many of these properties are located in the south of england,6.198883056640625e-06
75,itd,cocktail_wav48_itd/5_distractors/p283/p283_273.wav,1377076,did he trip,this is mania,6.9141387939453125e-06
76,hrtf,cocktail_wav48_hrtf/1_distractors/p237/p237_198.wav,688440,if the director is with you,if the director was with you,6.9141387939453125e-06
77,itd,cocktail_wav48_itd/5_distractors/p279/p279_183.wav,1514152,government will intervene,still going to a catholic church,5.9604644775390625e-06
78,ild,cocktail_wav48_ild/2_distractors/p302/p302_134.wav,746196,it has been in place since last july,it has been in place since last july,6.9141387939453125e-06
79,hrtf,cocktail_wav48_hrtf/5_distractors/p277/p277_147.wav,1090388,he realises his mistake,his job was fantastic,5.245208740234375e-06
80,itd,cocktail_wav48_itd/0_distractors/p279/p279_087.wav,631700,this is the way things should be handled,this is the way things should be handled,7.867813110351562e-06
81,itd,cocktail_wav48_itd/5_distractors/p283/p283_255.wav,901844,this would indicate a surge in inflation was unlikely,the things in my head should show up twice,5.9604644775390625e-06
82,itd,cocktail_wav48_itd/1_distractors/p283/p283_282.wav,885396,kingfisher can afford to wait,fishing without waste,7.867813110351562e-06
83,ild,cocktail_wav48_ild/4_distractors/p286/p286_202.wav,1098208,it caused a lot of upset,it caused alot of upset,6.9141387939453125e-06
84,hrtf,cocktail_wav48_hrtf/5_distractors/p229/p229_265.wav,1294428,today we can say that a new era has begun,today we can say that a new era has begun,7.152557373046875e-06
85,ild,cocktail_wav48_ild/3_distractors/p279/p279_188.wav,1000312,does this matter,does this match,5.7220458984375e-06
86,hrtf,cocktail_wav48_hrtf/6_distractors/p229/p229_245.wav,876648,the sanctions are about collective punishment,i need your support,7.152557373046875e-06
87,hrtf,cocktail_wav48_hrtf/0_distractors/p229/p229_303.wav,885696,the award to senator mitchell was announced by the foreign office,the award to senator mitchell was awarded by central office,6.9141387939453125e-06
88,ild,cocktail_wav48_ild/5_distractors/p286/p286_257.wav,2007620,a succession of managers in the opera company resigned,a sucession of wins in the business sector,7.152557373046875e-06
89,ild,cocktail_wav48_ild/2_distractors/p304/p304_404.wav,975112,we expect a full house on the night,we expect to fill heist on the night,7.152557373046875e-06
90,hrtf,cocktail_wav48_hrtf/6_distractors/p229/p229_066.wav,1401620,try to save us,..went unchanged in november,5.7220458984375e-06
91,ild,cocktail_wav48_ild/6_distractors/p302/p302_278.wav,746484,the dictator of iraq is not disarming,... is not disarming,1.0013580322265625e-05
92,itd,cocktail_wav48_itd/0_distractors/p274/p274_411.wav,844356,however the players should have a voice in these matters,"however, the players should have a voice in these matters",5.7220458984375e-06
93,ild,cocktail_wav48_ild/1_distractors/p306/p306_185.wav,697388,i am writing a novel,i am writing a novel,7.152557373046875e-06
94,ild,cocktail_wav48_ild/2_distractors/p304/p304_004.wav,1213300,we also need a small plastic snake and a big toy frog for the kids,we also need a big plastic snake and a big toy frog for the kids,6.198883056640625e-06
95,itd,cocktail_wav48_itd/0_distractors/p277/p277_294.wav,606896,one was a lawyer,Juan was a lawyer,6.67572021484375e-06
96,itd,cocktail_wav48_itd/2_distractors/p283/p283_146.wav,565884,it_s not a uturn at all,he was from Moscow,7.867813110351562e-06
97,itd,cocktail_wav48_itd/6_distractors/p279/p279_357.wav,1500120,i lost my head,the roads were clear,6.9141387939453125e-06
98,itd,cocktail_wav48_itd/2_distractors/p286/p286_090.wav,1106736,theatre is not a museum,theater is not an easy A,1.1920928955078125e-05
99,ild,cocktail_wav48_ild/1_distractors/p306/p306_155.wav,918268,you_ve seen the polls then sean,you've seen the polls than sean,5.9604644775390625e-06
100,ild,cocktail_wav48_ild/0_distractors/p306/p306_086.wav,655796,i have made good progress,i have made good progress,6.198883056640625e-06
101,ild,cocktail_wav48_ild/2_distractors/p304/p304_152.wav,778716,the report will be launched in glasgow today,.. will be launched at clasco today,7.152557373046875e-06
